country,normalized_job_title,rural,uuid
France,data coordinator,City,117a4e40-dcc8-0133-ec92-0a81e8b09a82
France,data coordinator,Rural,ee0340c0-da5c-0133-1528-0a81e8b09a82
France,data coordinator,Rural,29914860-da4d-0133-f1ad-0a81e8b09a82
France,data coordinator,City,e1d5ff20-dade-0133-2481-0a81e8b09a82
France,data coordinator,Rural,ce383590-da86-0133-e5e6-0a81e8b09a82
France,data coordinator,City,bbb1ab00-d8e7-0133-bfd0-0a81e8b09a82
Great Britain,data coordinator,City,a5d73a00-d968-0133-7629-0a81e8b09a82
Great Britain,data coordinator,Rural,27276150-d926-0133-3324-0a81e8b09a82
Great Britain,data coordinator,Rural,f6901c30-dcd4-0133-426e-0a81e8b09a82
Great Britain,data coordinator,Rural,4e08f330-d8f0-0133-12ed-0a81e8b09a82
Great Britain,data coordinator,Rural,fb5fa410-d905-0133-cd9a-0a81e8b09a82
Great Britain,data coordinator,City,f5f4de60-dcb8-0133-9e41-0a81e8b09a82
Great Britain,data coordinator,Rural,d9bba210-dd47-0133-3887-0a81e8b09a82
Great Britain,data coordinator,City,efa99540-db59-0133-a639-0a81e8b09a82
Great Britain,data coordinator,Rural,9e7d34f0-dc78-0133-3d9f-0a81e8b09a82
Greece,data coordinator,City,d01ceb30-dcc0-0133-5203-0a81e8b09a82
Croatia,data coordinator,Rural,c8468400-d964-0133-4651-0a81e8b09a82
Hungary,data coordinator,Rural,908161b0-dbbf-0133-7c5b-0a81e8b09a82
Hungary,data coordinator,City,5359b1c0-da5c-0133-104e-0a81e8b09a82
Hungary,data coordinator,City,0dd0e640-da10-0133-ff1e-0a81e8b09a82
Italy,data coordinator,City,8b7ecb20-dbae-0133-3dd2-0a81e8b09a82
Italy,data coordinator,Rural,e41dd1e0-db19-0133-406b-0a81e8b09a82
Italy,data coordinator,City,4fd7bea0-dd60-0133-e25e-0a81e8b09a82
Italy,data coordinator,City,22006300-dd22-0133-9a49-0a81e8b09a82
Italy,data coordinator,City,96487260-d97e-0133-f2f3-0a81e8b09a82
Italy,data coordinator,City,6300b3f0-dcb5-0133-86de-0a81e8b09a82
Italy,data coordinator,Rural,a1891340-dcdd-0133-7d53-0a81e8b09a82
Italy,data coordinator,City,89b22de0-dc92-0133-323f-0a81e8b09a82
Italy,data coordinator,City,8a99a580-da15-0133-9b9e-0a81e8b09a82
Italy,data coordinator,City,e43ae320-dae7-0133-43b0-0a81e8b09a82
Latvia,data coordinator,City,da897f20-da4b-0133-5131-0a81e8b09a82
Netherlands,data coordinator,Rural,77ac6910-da23-0133-ed88-0a81e8b09a82
Poland,data coordinator,Rural,55212cb0-d9aa-0133-84f9-0a81e8b09a82
Poland,data coordinator,City,1f64d400-d9fb-0133-0afb-0a81e8b09a82
Poland,data coordinator,City,95259740-da06-0133-0a32-0a81e8b09a82
Poland,data coordinator,City,73fc0a20-db0a-0133-7892-0a81e8b09a82
Poland,data coordinator,City,de4f9e00-dd69-0133-d8df-0a81e8b09a82
Poland,data coordinator,Rural,a6db8120-df7f-0133-6d1e-0a81e8b09a82
Poland,data coordinator,City,9c1ca5e0-dccf-0133-093f-0a81e8b09a82
Poland,data coordinator,Rural,0278f8b0-d967-0133-ae24-0a81e8b09a82
Portugal,data coordinator,City,4ec5c650-dcad-0133-ed71-0a81e8b09a82
Portugal,data coordinator,City,c0f02fc0-d8e9-0133-9a85-0a81e8b09a82
Portugal,data coordinator,City,bbeaed70-d975-0133-af15-0a81e8b09a82
Portugal,data coordinator,City,f050bee0-d8e7-0133-c069-0a81e8b09a82
Portugal,data coordinator,City,cacfcec0-da29-0133-4483-0a81e8b09a82
Portugal,data coordinator,Rural,896021f0-d979-0133-54db-0a81e8b09a82
Romania,data coordinator,City,affb0bc0-dc05-0133-e036-0a81e8b09a82
Romania,data coordinator,City,0d616ac0-d8d5-0133-6442-0a81e8b09a82
Romania,data coordinator,City,7955cca0-da42-0133-5fd1-0a81e8b09a82
Sweden,data coordinator,City,26f67a10-d9a9-0133-0e18-0a81e8b09a82
Sweden,data coordinator,City,1d536800-d8a9-0133-66f8-0a81e8b09a82
Austria,database developer,City,24954a70-db98-0133-4a64-0a81e8b09a82
Germany,database developer,City,189498b0-da06-0133-0930-0a81e8b09a82
Germany,database developer,City,c8095ff0-de49-0133-6bd1-0a81e8b09a82
Spain,database developer,City,b1562100-d97d-0133-0d1e-0a81e8b09a82
France,database developer,City,b95e9ca0-d94d-0133-55d6-0a81e8b09a82
Great Britain,database developer,Rural,69c22d50-da7b-0133-89de-0a81e8b09a82
Hungary,database developer,City,c1dc87e0-d999-0133-1901-0a81e8b09a82
Italy,database developer,City,01363f30-d9ad-0133-87e4-0a81e8b09a82
Italy,database developer,City,c2e4f410-de11-0133-fb9b-0a81e8b09a82
Poland,database developer,City,b1dcbbc0-d8e9-0133-9a58-0a81e8b09a82
Poland,database developer,City,5bb208a0-d987-0133-3d7a-0a81e8b09a82
Sweden,database developer,City,295a2930-d97d-0133-0b3e-0a81e8b09a82
Slovenia,database developer,Rural,c9e6a460-d8df-0133-6346-0a81e8b09a82
Austria,data entry specialist,Rural,28583060-dbe2-0133-ff9c-0a81e8b09a82
Belgium,data entry specialist,Rural,a5b4c5e0-db5b-0133-db35-0a81e8b09a82
Czechia,data entry specialist,City,889b4810-da22-0133-e98b-0a81e8b09a82
Spain,data entry specialist,Rural,95348610-da80-0133-3542-0a81e8b09a82
France,data entry specialist,City,bfbf5480-dbda-0133-8305-0a81e8b09a82
France,data entry specialist,Rural,3d284c90-da7c-0133-8d34-0a81e8b09a82
Italy,data entry specialist,Rural,146e9ed0-d9f5-0133-ff34-0a81e8b09a82
Lithuania,data entry specialist,City,da13ce80-dafa-0133-a826-0a81e8b09a82
Poland,data entry specialist,Rural,0e10a420-da60-0133-cc11-0a81e8b09a82
Romania,data entry specialist,City,a96d50a0-db9c-0133-95fb-0a81e8b09a82
Austria,database architect,City,dd743bb0-d9a5-0133-53b2-0a81e8b09a82
Belgium,database architect,City,0b072e10-daf8-0133-9680-0a81e8b09a82
Bulgaria,database architect,City,a4b03050-da50-0133-3639-0a81e8b09a82
Czechia,database architect,City,f897d1e0-d985-0133-36d2-0a81e8b09a82
Czechia,database architect,Rural,da452420-d9a3-0133-7536-0a81e8b09a82
Germany,database architect,City,073766d0-da26-0133-6885-0a81e8b09a82
Germany,database architect,City,d69fd7a0-daed-0133-0c4b-0a81e8b09a82
Germany,database architect,Rural,60121f70-dd93-0133-b7fd-0a81e8b09a82
Germany,database architect,City,3154d380-d8d1-0133-58f8-0a81e8b09a82
Germany,database architect,Rural,27d8dd90-dcca-0133-2888-0a81e8b09a82
Germany,database architect,City,e90e1ad0-dbb6-0133-4db3-0a81e8b09a82
Germany,database architect,Rural,75487830-d970-0133-92a1-0a81e8b09a82
Germany,database architect,Rural,b3ff0d80-dbd0-0133-ebd9-0a81e8b09a82
Germany,database architect,City,da4cff40-dcce-0133-0552-0a81e8b09a82
Spain,database architect,City,60a676b0-d8ec-0133-ae23-0a81e8b09a82
Spain,database architect,City,2539d100-d8df-0133-611b-0a81e8b09a82
Spain,database architect,City,b703ce90-d978-0133-0f89-0a81e8b09a82
Spain,database architect,City,4ee4d880-da04-0133-04ce-0a81e8b09a82
Spain,database architect,City,88289100-dd28-0133-6aed-0a81e8b09a82
Spain,database architect,City,c6bafd00-dcba-0133-11d8-0a81e8b09a82
Spain,database architect,Rural,054eae00-dbe2-0133-ff3d-0a81e8b09a82
Spain,database architect,City,c8aaf400-d955-0133-8a5b-0a81e8b09a82
France,database architect,City,4ad76c20-d993-0133-678a-0a81e8b09a82
France,database architect,City,ac3fa440-dcb4-0133-8276-0a81e8b09a82
France,database architect,City,5f0b7c10-dbc1-0133-d9f9-0a81e8b09a82
France,database architect,City,13aa7460-d93e-0133-c101-0a81e8b09a82
France,database architect,Rural,0c4d0a10-da3c-0133-e16e-0a81e8b09a82
France,database architect,City,fbd0b690-da8c-0133-c8e4-0a81e8b09a82
France,database architect,City,f5121850-da50-0133-382d-0a81e8b09a82
France,database architect,City,c8ed9400-db1c-0133-4d0a-0a81e8b09a82
France,database architect,Rural,132857e0-dbfb-0133-057f-0a81e8b09a82
France,database architect,Rural,bb3d9f10-db59-0133-00e2-0a81e8b09a82
France,database architect,Rural,82256ff0-da83-0133-6ed9-0a81e8b09a82
Great Britain,database architect,City,13812a10-dc03-0133-8343-0a81e8b09a82
Great Britain,database architect,Rural,8864fdb0-da7f-0133-313f-0a81e8b09a82
Great Britain,database architect,Rural,0422e320-dc77-0133-3886-0a81e8b09a82
Great Britain,database architect,City,c02bf8d0-dcad-0133-ef51-0a81e8b09a82
Great Britain,database architect,City,814992f0-dbb9-0133-576c-0a81e8b09a82
Great Britain,database architect,Rural,2ff40040-dae7-0133-4102-0a81e8b09a82
Great Britain,database architect,City,10430fe0-da81-0133-36f7-0a81e8b09a82
Great Britain,database architect,City,311457a0-dbd2-0133-f1c8-0a81e8b09a82
Great Britain,database architect,Rural,0393c980-d8f9-0133-b5ff-0a81e8b09a82
Greece,database architect,City,abebc660-d9a3-0133-743b-0a81e8b09a82
Ireland,database architect,City,ab1cf420-dae5-0133-3bc4-0a81e8b09a82
Italy,database architect,City,a50243b0-da72-0133-2de4-0a81e8b09a82
Italy,database architect,City,3652c120-db9c-0133-94ce-0a81e8b09a82
Italy,database architect,Rural,2eca16e0-d8d5-0133-64b4-0a81e8b09a82
Italy,database architect,City,ed608640-dad4-0133-3b80-0a81e8b09a82
Italy,database architect,City,f41ad560-da6a-0133-0e3e-0a81e8b09a82
Italy,database architect,City,6e4068a0-d8e1-0133-b34e-0a81e8b09a82
Italy,database architect,Rural,1f942db0-db0d-0133-d065-0a81e8b09a82
Italy,database architect,City,4bb13750-dae1-0133-2c93-0a81e8b09a82
Italy,database architect,Rural,8f96bbf0-d957-0133-65aa-0a81e8b09a82
Italy,database architect,City,3257c8d0-da7e-0133-dbc9-0a81e8b09a82
Italy,database architect,City,fb142c80-dd80-0133-c7ab-0a81e8b09a82
Italy,database architect,City,fc28adb0-da65-0133-a614-0a81e8b09a82
Italy,database architect,City,156b1b10-d94c-0133-8b9b-0a81e8b09a82
Italy,database architect,City,49dd59e0-d8d7-0133-1c54-0a81e8b09a82
Italy,database architect,Rural,39e0f020-d8da-0133-957b-0a81e8b09a82
Netherlands,database architect,Rural,dd607860-dcb0-0133-a931-0a81e8b09a82
Poland,database architect,City,84b8d870-d983-0133-7af5-0a81e8b09a82
Poland,database architect,Rural,a50d1010-d8da-0133-968e-0a81e8b09a82
Poland,database architect,City,65d06e10-dd56-0133-a0fc-0a81e8b09a82
Poland,database architect,City,51b2f400-d9ac-0133-2031-0a81e8b09a82
Portugal,database architect,City,7b2655d0-d8f7-0133-b2e7-0a81e8b09a82
Portugal,database architect,City,e09f8280-dcc2-0133-ba86-0a81e8b09a82
Portugal,database architect,City,88a75d20-d8e8-0133-c1ff-0a81e8b09a82
Romania,database architect,City,3ca4c450-d996-0133-7167-0a81e8b09a82
Romania,database architect,City,bfe43f70-d98a-0133-a289-0a81e8b09a82
Romania,database architect,City,d3d03100-d986-0133-3ae0-0a81e8b09a82
Romania,database architect,City,c0b8d4f0-dcbd-0133-5d38-0a81e8b09a82
Sweden,database architect,Rural,ae5744b0-db93-0133-5988-0a81e8b09a82
Austria,geographic information systems database administrator gis database administrator,City,4fde2370-da48-0133-3a42-0a81e8b09a82
Austria,geographic information systems database administrator gis database administrator,City,aa342b50-dcc4-0133-f797-0a81e8b09a82
Austria,geographic information systems database administrator gis database administrator,Rural,ab8dbf10-da1c-0133-f11e-0a81e8b09a82
Austria,geographic information systems database administrator gis database administrator,City,81f6b2a0-de56-0133-2850-0a81e8b09a82
Bulgaria,geographic information systems database administrator gis database administrator,City,6187b080-da34-0133-8c46-0a81e8b09a82
Bulgaria,geographic information systems database administrator gis database administrator,City,13ac38a0-d986-0133-374b-0a81e8b09a82
Czechia,geographic information systems database administrator gis database administrator,City,cc2b5790-dae1-0133-2e1b-0a81e8b09a82
Czechia,geographic information systems database administrator gis database administrator,Rural,1ef5bc00-dcc0-0133-4dd7-0a81e8b09a82
Germany,geographic information systems database administrator gis database administrator,City,9638f780-dd6f-0133-00da-0a81e8b09a82
Germany,geographic information systems database administrator gis database administrator,City,59feb0c0-de49-0133-6a94-0a81e8b09a82
Germany,geographic information systems database administrator gis database administrator,Rural,d54ba540-de69-0133-6849-0a81e8b09a82
Germany,geographic information systems database administrator gis database administrator,City,fbd9b210-dbf1-0133-ec2a-0a81e8b09a82
Germany,geographic information systems database administrator gis database administrator,Rural,c196b8b0-dbc2-0133-e021-0a81e8b09a82
Germany,geographic information systems database administrator gis database administrator,Rural,707f3e50-dcd9-0133-189c-0a81e8b09a82
Germany,geographic information systems database administrator gis database administrator,City,b0b4f4c0-da75-0133-324c-0a81e8b09a82
Germany,geographic information systems database administrator gis database administrator,City,7ae37a10-dc83-0133-ebf7-0a81e8b09a82
Germany,geographic information systems database administrator gis database administrator,City,2f9b9330-de59-0133-2fdd-0a81e8b09a82
Germany,geographic information systems database administrator gis database administrator,City,165f15e0-dcc2-0133-58de-0a81e8b09a82
Germany,geographic information systems database administrator gis database administrator,City,4fd4cc10-d989-0133-9c34-0a81e8b09a82
Spain,geographic information systems database administrator gis database administrator,City,05fb4b60-d9ac-0133-1e6f-0a81e8b09a82
Spain,geographic information systems database administrator gis database administrator,City,62ba4fa0-d999-0133-7ee9-0a81e8b09a82
Spain,geographic information systems database administrator gis database administrator,City,ecc67bd0-d8c4-0133-85f3-0a81e8b09a82
Spain,geographic information systems database administrator gis database administrator,Rural,665c0700-d9af-0133-3128-0a81e8b09a82
Spain,geographic information systems database administrator gis database administrator,City,b89d5c10-da39-0133-edd9-0a81e8b09a82
Spain,geographic information systems database administrator gis database administrator,City,d3a36700-d8ad-0133-6e9b-0a81e8b09a82
Spain,geographic information systems database administrator gis database administrator,City,07bfb680-d8cb-0133-5d2d-0a81e8b09a82
Spain,geographic information systems database administrator gis database administrator,City,4b4f5ba0-dc1e-0133-d8c6-0a81e8b09a82
France,geographic information systems database administrator gis database administrator,City,e1128db0-dcc2-0133-ba8c-0a81e8b09a82
France,geographic information systems database administrator gis database administrator,City,f1bc3750-d979-0133-565c-0a81e8b09a82
France,geographic information systems database administrator gis database administrator,City,3bc1e230-db25-0133-4fd4-0a81e8b09a82
France,geographic information systems database administrator gis database administrator,City,d6db9da0-dae4-0133-38da-0a81e8b09a82
Great Britain,geographic information systems database administrator gis database administrator,Rural,6393a6e0-d9aa-0133-853a-0a81e8b09a82
Great Britain,geographic information systems database administrator gis database administrator,Rural,8476e930-d9b4-0133-d30a-0a81e8b09a82
Great Britain,geographic information systems database administrator gis database administrator,City,f689a090-dcf1-0133-d25f-0a81e8b09a82
Great Britain,geographic information systems database administrator gis database administrator,Rural,20bae3a0-d9ce-0133-11e9-0a81e8b09a82
Great Britain,geographic information systems database administrator gis database administrator,City,5ad68fd0-dcbc-0133-b66a-0a81e8b09a82
Great Britain,geographic information systems database administrator gis database administrator,City,78a01340-de49-0133-6af1-0a81e8b09a82
Great Britain,geographic information systems database administrator gis database administrator,Rural,4a7a7fe0-d977-0133-0a88-0a81e8b09a82
Greece,geographic information systems database administrator gis database administrator,City,be7247b0-dcb7-0133-7165-0a81e8b09a82
Croatia,geographic information systems database administrator gis database administrator,City,39686950-dcef-0133-cb18-0a81e8b09a82
Hungary,geographic information systems database administrator gis database administrator,Rural,788e4a20-dbb9-0133-5743-0a81e8b09a82
Ireland,geographic information systems database administrator gis database administrator,City,ca6876e0-da62-0133-3b02-0a81e8b09a82
Ireland,geographic information systems database administrator gis database administrator,Rural,dbb798c0-da94-0133-37bf-0a81e8b09a82
Italy,geographic information systems database administrator gis database administrator,City,7dd0c980-d999-0133-7f67-0a81e8b09a82
Italy,geographic information systems database administrator gis database administrator,City,fa631530-dbaa-0133-c753-0a81e8b09a82
Italy,geographic information systems database administrator gis database administrator,City,9446afa0-da13-0133-967d-0a81e8b09a82
Italy,geographic information systems database administrator gis database administrator,City,d27fa9c0-da10-0133-00ff-0a81e8b09a82
Italy,geographic information systems database administrator gis database administrator,City,3819ad90-d98c-0133-ee0d-0a81e8b09a82
Italy,geographic information systems database administrator gis database administrator,Rural,6eee5a70-d9a0-0133-a09f-0a81e8b09a82
Italy,geographic information systems database administrator gis database administrator,City,ace445b0-da17-0133-a317-0a81e8b09a82
Italy,geographic information systems database administrator gis database administrator,City,5eff7400-d982-0133-75e6-0a81e8b09a82
Italy,geographic information systems database administrator gis database administrator,City,760fbd10-db23-0133-699f-0a81e8b09a82
Italy,geographic information systems database administrator gis database administrator,City,8dcea8e0-d943-0133-52a8-0a81e8b09a82
Italy,geographic information systems database administrator gis database administrator,Rural,80434680-d8c2-0133-c5b9-0a81e8b09a82
Italy,geographic information systems database administrator gis database administrator,Rural,3b00b420-da4f-0133-ef54-0a81e8b09a82
Luxembourg,geographic information systems database administrator gis database administrator,City,9fa29f80-da19-0133-aa4b-0a81e8b09a82
Netherlands,geographic information systems database administrator gis database administrator,City,4d4f2080-da65-0133-37bb-0a81e8b09a82
Netherlands,geographic information systems database administrator gis database administrator,Rural,ee9d6660-d9ef-0133-ab7a-0a81e8b09a82
Poland,geographic information systems database administrator gis database administrator,City,ae0a71b0-d99c-0133-b1cc-0a81e8b09a82
Poland,geographic information systems database administrator gis database administrator,City,321ae6b0-d8df-0133-6154-0a81e8b09a82
Poland,geographic information systems database administrator gis database administrator,City,793f9840-dd58-0133-ff28-0a81e8b09a82
Poland,geographic information systems database administrator gis database administrator,Rural,ef8aea90-db9e-0133-9cf8-0a81e8b09a82
Poland,geographic information systems database administrator gis database administrator,City,b593fe20-df1d-0133-f623-0a81e8b09a82
Poland,geographic information systems database administrator gis database administrator,Rural,7d852b90-da32-0133-b3ce-0a81e8b09a82
Poland,geographic information systems database administrator gis database administrator,City,b9bab580-da3e-0133-4f50-0a81e8b09a82
Poland,geographic information systems database administrator gis database administrator,City,91178850-d9a3-0133-739c-0a81e8b09a82
Poland,geographic information systems database administrator gis database administrator,Rural,f64276e0-da04-0133-0666-0a81e8b09a82
